"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201648",369,373.75
"201649",384,385
"201650",405,388
"201651",400,389.5
"201652",386,393.75
"201701",424,403.75
"201702",377,396.75
"201703",392,394.75
"201704",413,401.5
"201705",465,411.75
"201706",447,429.25
"201707",494,454.75
"201708",452,464.5
"201709",403,449
"201710",423,443
"201711",381,414.75
"201712",382,397.25
"201713",380,391.5
"201714",429,393
"201715",368,389.75
"201716",360,384.25
"201717",370,381.75
"201718",378,369
"201719",399,376.75
"201720",359,376.5
"201721",364,375
"201722",392,378.5
"201723",382,374.25
"201724",423,390.25
"201725",371,392
"201726",464,410
"201727",441,424.75
"201728",477,438.25
"201729",484,466.5
"201730",450,463
"201731",474,471.25
"201732",456,466
"201733",448,457
"201734",408,446.5
"201735",386,424.5
"201736",362,401
"201737",417,393.25
"201738",377,385.5
"201739",418,393.5
"201740",387,399.75
"201741",370,388
"201742",389,391
"201743",388,383.5
"201744",367,378.5
"201745",369,378.25
"201746",320,361
"201747",380,359
"201748",368,359.25
"201749",382,362.5
"201750",408,384.5
"201751",426,396
"201752",453,417.25
"201801",475,440.5
"201802",441,448.75
"201803",511,470
"201804",471,474.5
"201805",459,470.5
"201806",568,502.25
"201807",573,517.75
"201808",594,548.5
"201809",511,561.5
"201810",511,547.25
"201811",496,528
"201812",459,494.25
"201813",469,483.75
"201814",428,463
"201815",458,453.5
"201816",451,451.5
"201817",388,431.25
"201818",415,428
"201819",391,411.25
"201820",367,390.25
"201821",408,395.25
"201822",408,393.5
"201823",413,399
"201824",403,408
"201825",428,413
"201826",410,413.5
"201827",415,414
"201828",435,422
"201829",403,415.75
"201830",401,413.5
"201831",409,412
"201832",415,407
"201833",417,410.5
"201834",359,400
"201835",392,395.75
"201836",386,388.5
"201837",413,387.5
"201838",407,399.5
"201839",424,407.5
"201840",410,413.5
"201841",412,413.25
"201842",435,420.25
"201843",396,413.25
"201844",414,414.25
"201845",395,410
"201846",374,394.75
"201847",339,380.5
"201848",388,374
"201849",374,368.75
"201850",377,369.5
"201851",420,389.75
"201852",419,397.5
"201901",480,424
"201902",437,439
"201903",430,441.5
"201904",467,453.5
"201905",530,466
"201906",465,473
"201907",515,494.25
"201908",505,503.75
"201909",486,492.75
"201910",451,489.25
"201911",472,478.5
"201912",468,469.25
"201913",492,470.75
"201914",464,474
"201915",446,467.5
"201916",442,461
"201917",426,444.5
"201918",427,435.25
"201919",385,420
"201920",448,421.5
"201921",440,425
"201922",400,418.25
"201923",436,431
"201924",438,428.5
"201925",450,431
"201926",430,438.5
"201927",424,435.5
"201928",442,436.5
"201929",481,444.25
"201930",455,450.5
"201931",446,456
"201932",419,450.25
"201933",418,434.5
"201934",458,435.25
"201935",436,432.75
"201936",486,449.5
"201937",482,465.5
"201938",450,463.5
"201939",445,465.75
"201940",472,462.25
"201941",416,445.75
"201942",445,444.5
"201943",454,446.75
"201944",438,438.25
"201945",436,443.25
"201946",398,431.5
"201947",412,421
"201948",426,418
"201949",457,423.25
"201950",498,448.25
"201951",516,474.25
"201952",440,477.75
"202001",444,474.5
"202002",486,471.5
"202003",436,451.5
"202004",529,473.75
"202005",528,494.75
"202006",552,511.25
"202007",504,528.25
"202008",530,528.5
"202009",462,512
"202010",458,488.5
"202011",412,465.5
"202012",413,436.25
"202013",415,424.5
"202014",423,415.75
"202015",410,415.25
"202016",382,407.5
"202017",333,387
"202018",348,368.25
"202019",371,358.5
"202020",373,356.25
"202021",327,354.75
"202022",323,348.5
"202023",334,339.25
"202024",349,333.25
"202025",382,347
"202026",369,358.5
"202027",403,375.75
"202028",339,373.25
"202029",362,368.25
"202030",395,374.75
"202031",380,369
"202032",348,371.25
"202033",348,367.75
"202034",383,364.75
"202035",353,358
"202036",379,365.75
"202037",407,380.5
"202038",391,382.5
"202039",414,397.75
"202040",378,397.5
"202041",364,386.75
"202042",408,391
"202043",415,391.25
"202044",377,391
"202045",393,398.25
"202046",367,388
"202047",392,382.25
"202048",436,397
"202049",415,402.5
"202050",431,418.5
"202051",407,422.25
"202052",451,426
"202053",405,423.5
"202101",512,443.75
"202102",510,469.5
"202103",583,502.5
"202104",472,519.25
"202105",490,513.75
"202106",486,507.75
"202107",456,476
"202108",499,482.75
"202109",431,468
"202110",410,449
"202111",403,435.75
"202112",389,408.25
"202113",453,413.75
"202114",382,406.75
"202115",397,405.25
"202116",395,406.75
"202117",401,393.75
"202118",425,404.5
"202119",421,410.5
"202120",462,427.25
"202121",536,461
"202122",526,486.25
"202123",500,506
"202124",458,505
"202125",427,477.75
"202126",421,451.5
"202127",384,422.5
"202128",403,408.75
"202129",368,394
"202130",362,379.25
"202131",369,375.5
"202132",329,357
"202133",388,362
"202134",343,357.25
"202135",389,362.25
"202136",381,375.25
"202137",373,371.5
"202138",372,378.75
"202139",366,373
"202140",398,377.25
"202141",356,373
"202142",366,371.5
"202143",368,372
"202144",370,365
"202145",370,368.5
"202146",366,368.5
"202147",353,364.75
"202148",323,353
"202149",424,366.5
"202150",415,378.75
"202151",397,389.75
"202152",373,402.25
"202201",479,416
"202202",417,416.5
"202203",411,420
"202204",424,432.75
"202205",406,414.5
"202206",463,426
"202207",429,430.5
"202208",492,447.5
"202209",449,458.25
"202210",444,453.5
"202211",404,447.25
"202212",392,422.25
"202213",406,411.5
"202214",390,398
"202215",419,401.75
"202216",409,406
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
