"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201901",11,10.5
"201902",9,9.25
"201903",11,9.75
"201904",20,12.75
"201905",9,12.25
"201906",8,12
"201907",12,12.25
"201908",15,11
"201909",15,12.5
"201910",7,12.25
"201911",12,12.25
"201912",16,12.5
"201913",12,11.75
"201914",7,11.75
"201915",15,12.5
"201916",11,11.25
"201917",12,11.25
"201918",7,11.25
"201919",5,8.75
"201920",11,8.75
"201921",8,7.75
"201922",6,7.5
"201923",10,8.75
"201924",10,8.5
"201925",10,9
"201926",9,9.75
"201927",11,10
"201928",10,10
"201929",5,8.75
"201930",11,9.25
"201931",10,9
"201932",8,8.5
"201933",9,9.5
"201934",8,8.75
"201935",9,8.5
"201936",11,9.25
"201937",15,10.75
"201938",10,11.25
"201939",8,11
"201940",13,11.5
"201941",14,11.25
"201942",16,12.75
"201943",15,14.5
"201944",12,14.25
"201945",10,13.25
"201946",8,11.25
"201947",11,10.25
"201948",10,9.75
"201949",8,9.25
"201950",14,10.75
"201951",9,10.25
"201952",11,10.5
"202001",11,11.25
"202002",12,10.75
"202003",14,12
"202004",16,13.25
"202005",13,13.75
"202006",12,13.75
"202007",7,12
"202008",11,10.75
"202009",16,11.5
"202010",5,9.75
"202011",9,10.25
"202012",15,11.25
"202013",10,9.75
"202014",10,11
"202015",11,11.5
"202016",7,9.5
"202017",9,9.25
"202018",9,9
"202019",4,7.25
"202020",8,7.5
"202021",13,8.5
"202022",6,7.75
"202023",8,8.75
"202024",7,8.5
"202025",7,7
"202026",12,8.5
"202027",7,8.25
"202028",5,7.75
"202029",4,7
"202030",3,4.75
"202031",7,4.75
"202032",7,5.25
"202033",5,5.5
"202034",7,6.5
"202035",8,6.75
"202036",10,7.5
"202037",11,9
"202038",6,8.75
"202039",8,8.75
"202040",7,8
"202041",6,6.75
"202042",4,6.25
"202043",7,6
"202044",6,5.75
"202045",9,6.5
"202046",9,7.75
"202047",10,8.5
"202048",9,9.25
"202049",13,10.25
"202050",8,10
"202051",10,10
"202052",7,9.5
"202053",9,8.5
