"死亡年週","肺炎及流感死亡人數","四週移動平均"
"202024",349,333.25
"202025",382,347
"202026",369,358.5
"202027",403,375.75
"202028",339,373.25
"202029",362,368.25
"202030",395,374.75
"202031",380,369
"202032",348,371.25
"202033",348,367.75
"202034",383,364.75
"202035",353,358
"202036",379,365.75
"202037",407,380.5
"202038",391,382.5
"202039",414,397.75
"202040",378,397.5
"202041",364,386.75
"202042",408,391
"202043",415,391.25
"202044",377,391
"202045",393,398.25
"202046",367,388
"202047",392,382.25
"202048",436,397
"202049",415,402.5
"202050",431,418.5
"202051",407,422.25
"202052",451,426
"202053",405,423.5
"202101",512,443.75
"202102",510,469.5
"202103",583,502.5
"202104",472,519.25
"202105",490,513.75
"202106",486,507.75
"202107",456,476
"202108",499,482.75
"202109",431,468
"202110",410,449
"202111",403,435.75
"202112",389,408.25
"202113",453,413.75
"202114",382,406.75
"202115",397,405.25
"202116",395,406.75
"202117",401,393.75
"202118",425,404.5
"202119",421,410.5
"202120",462,427.25
"202121",536,461
"202122",526,486.25
"202123",500,506
"202124",458,505
"202125",427,477.75
"202126",421,451.5
"202127",384,422.5
"202128",403,408.75
"202129",368,394
"202130",362,379.25
"202131",369,375.5
"202132",329,357
"202133",388,362
"202134",343,357.25
"202135",389,362.25
"202136",381,375.25
"202137",373,371.5
"202138",372,378.75
"202139",366,373
"202140",398,377.25
"202141",356,373
"202142",366,371.5
"202143",368,372
"202144",370,365
"202145",370,368.5
"202146",366,368.5
"202147",353,364.75
"202148",323,353
"202149",424,366.5
"202150",415,378.75
"202151",397,389.75
"202152",373,402.25
"202201",479,416
"202202",417,416.5
"202203",411,420
"202204",424,432.75
"202205",406,414.5
"202206",463,426
"202207",429,430.5
"202208",492,447.5
"202209",449,458.25
"202210",444,453.5
"202211",404,447.25
"202212",392,422.25
"202213",406,411.5
"202214",390,398
"202215",419,401.75
"202216",409,406
"202217",,
"202218",,
"202219",,
"202220",,
"202221",,
"202222",,
"202223",,
"202224",,
"202225",,
"202226",,
"202227",,
"202228",,
"202229",,
"202230",,
"202231",,
"202232",,
"202233",,
"202234",,
"202235",,
"202236",,
"202237",,
"202238",,
"202239",,
"202240",,
"202241",,
"202242",,
"202243",,
"202244",,
"202245",,
"202246",,
"202247",,
"202248",,
"202249",,
"202250",,
"202251",,
"202252",,
