"死亡年週","肺炎及流感死亡人數","四週移動平均"
"201901",433,379.5
"201902",385,391
"201903",376,391.5
"201904",400,398.5
"201905",466,406.75
"201906",414,414
"201907",453,433.25
"201908",438,442.75
"201909",432,434.25
"201910",400,430.75
"201911",402,418
"201912",408,410.5
"201913",451,415.25
"201914",417,419.5
"201915",405,420.25
"201916",397,417.5
"201917",377,399
"201918",386,391.25
"201919",357,379.25
"201920",413,383.25
"201921",391,386.75
"201922",359,380
"201923",388,387.75
"201924",392,382.5
"201925",406,386.25
"201926",391,394.25
"201927",369,389.5
"201928",406,393
"201929",433,399.75
"201930",410,404.5
"201931",399,412
"201932",377,404.75
"201933",374,390
"201934",409,389.75
"201935",397,389.25
"201936",433,403.25
"201937",433,418
"201938",407,417.5
"201939",407,420
"201940",427,418.5
"201941",375,404
"201942",396,401.25
"201943",404,400.5
"201944",384,389.75
"201945",388,393
"201946",363,384.75
"201947",356,372.75
"201948",376,370.75
"201949",422,379.25
"201950",440,398.5
"201951",455,423.25
"201952",392,427.25
"202001",385,418
"202002",425,414.25
"202003",385,396.75
"202004",460,413.75
"202005",462,433
"202006",497,451
"202007",466,471.25
"202008",475,475
"202009",409,461.75
"202010",411,440.25
"202011",365,415
"202012",353,384.5
"202013",376,376.25
"202014",371,366.25
"202015",366,366.5
"202016",347,365
"202017",293,344.25
"202018",311,329.25
"202019",335,321.5
"202020",331,317.5
"202021",281,314.5
"202022",287,308.5
"202023",301,300
"202024",313,295.5
"202025",351,313
"202026",333,324.5
"202027",354,337.75
"202028",303,335.25
"202029",326,329
"202030",363,336.5
"202031",341,333.25
"202032",309,334.75
"202033",322,333.75
"202034",347,329.75
"202035",320,324.5
"202036",344,333.25
"202037",361,343
"202038",349,343.5
"202039",383,359.25
"202040",332,356.25
"202041",327,347.75
"202042",381,355.75
"202043",376,354
"202044",340,356
"202045",349,361.5
"202046",334,349.75
"202047",349,343
"202048",395,356.75
"202049",364,360.5
"202050",387,373.75
"202051",366,378
"202052",409,381.5
"202053",361,380.75
